,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
169,Do What I Want,Lil Uzi Vert,175203,"hip hop, melodic rap, philly rap, rage rap, rap",139.952,-6.336,0.701,0.681,9,0.0,0.398,hype
170,Black Beatles,Rae Sremmurd,291893,"melodic rap, mississippi hip hop, pop rap, rap, trap",145.926,-6.163,0.632,0.794,0,0.0,0.355,hype
171,No Heart,21 Savage,235040,"atl hip hop, hip hop, rap",140.063,-8.692,0.444,0.906,4,6.44e-05,0.678,hype
172,Father Stretch My Hands Pt. 1,Kanye West,135920,"chicago rap, hip hop, rap",113.088,-4.113,0.573,0.724,7,0.0,0.438,hype
173,pick up the phone,Young Thug,252262,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",136.904,-4.263,0.716,0.706,7,0.0,0.459,hype
174,My Way (feat. Monty),Fetty Wap,213053,"new jersey rap, pop rap, rap, southern hip hop, trap",128.077,-3.103,0.741,0.748,6,0.0,0.537,hype
175,Get Low,Lil Jon & The East Side Boyz,334066,"atl hip hop, atlanta bass, crunk, dirty south rap, old school atlanta hip hop, southern hip hop",101.007,-7.453,0.621,0.771,1,0.0,0.154,hype
176,Bounce Back,Big Sean,222360,"detroit hip hop, hip hop, pop rap, r&b, rap, trap",81.502,-5.628,0.575,0.78,1,0.0,0.273,hype
177,Skateboard P,MadeinTYO,179506,"atl hip hop, melodic rap, trap",150.933,-6.838,0.498,0.842,1,0.0,0.32,hype
178,Pretty Boy Swag,Soulja Boy,236093,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap",123.157,-5.158,0.42,0.837,8,0.0,0.143,hype
